"","Constituency.Name","Electorate","Votes","Lab","Con","LD","Grn","UKIP","SNP","year","leave"
"1168","Walsall South",67743,41838,19740,13733,676,1149,6540,0,2015,0.6163527587
"1169","Walthamstow",64625,40994,21252,5734,11774,767,823,0,2010,0.3348858552
"1170","Walthamstow",67015,41796,0,5584,1661,2661,2507,0,2015,0.3348858552
"1171","Wansbeck",60705,38528,19267,8386,2407,1454,7014,0,2015,0.5619074863
"1172","Wansbeck",61782,38273,17548,6714,10517,601,974,0,2010,0.5619074863
"1173","Wantage",82931,58320,9343,31092,7611,2986,7288,0,2015,0.4643220697
"1174","Wantage",80456,56341,7855,29284,15737,1044,2421,0,2010,0.4643220697
"1175","Warley",63738,37829,22012,7310,805,1465,6237,0,2015,0.6182570994
"1176","Warley",62751,38270,20240,9484,5929,0,2617,0,2010,0.6182570994
"1177","Warrington North",70473,44211,20135,13364,9196,0,0,0,2010,0.5864758174
"1178","Warrington North",72104,45419,21720,12797,1881,1264,7757,0,2015,0.5864758174
"1179","Warrington South",79182,54874,18088,19641,15094,427,1624,0,2010,0.5062010223
"1180","Warrington South",84767,59353,23178,25928,3335,1765,4909,0,2015,0.5062010223
"1181","Warwick & Leamington",67800,49032,17363,20876,8977,693,926,0,2010,NA
"1182","Warwick & Leamington",71578,50581,17643,24249,2512,1994,4183,0,2015,NA
"1183","Warwickshire North",70138,47265,18939,18993,5481,0,1335,0,2010,NA
"1184","Warwickshire North",70152,47377,17069,20042,978,894,8256,0,2015,NA
"1185","Washington & Sunderland West",68190,37257,20478,7033,993,1091,7321,0,2015,NA
"1186","Washington & Sunderland West",68910,37334,19615,8157,6382,0,1267,0,2010,NA
"1187","Watford",80798,55208,14750,19291,17866,885,1199,0,2010,0.5118404276
"1188","Watford",83535,56149,14606,24400,10152,1332,5481,0,2015,0.5118404276
"1189","Waveney",78532,51141,19802,20571,6811,1167,2684,0,2010,0.6320988539
"1190","Waveney",80166,52196,19696,22104,1055,1761,7580,0,2015,0.6320988539
"1191","Wealden",80236,57017,6165,32508,5180,3623,9541,0,2015,0.5254627488
"1192","Wealden",76537,54969,5266,31090,13911,1383,3319,0,2010,0.5254627488
"1193","Weaver Vale",67269,43990,15962,16953,8196,338,1018,0,2010,0.50198502
"1194","Weaver Vale",68407,46867,19421,20227,1395,1183,4547,0,2015,0.50198502
"1195","Wellingborough",74317,50430,9839,26265,2240,2218,9868,0,2015,0.6293857655
"1196","Wellingborough",76846,51661,13131,24918,8848,480,1636,0,2010,0.6293857655
"1197","Wells",79432,55864,4198,23760,24560,631,1711,0,2010,0.534930546
"1198","Wells",79405,56904,3780,26247,18662,2331,5644,0,2015,0.534930546
"1199","Welwyn Hatfield",73247,50205,13128,25281,3140,1742,6556,0,2015,0.5253524015
"1200","Welwyn Hatfield",72058,48972,10471,27894,8010,796,1643,0,2010,0.5253524015
"1201","Wentworth & Dearne",72586,42106,21316,7396,6787,0,3418,0,2010,NA
"1202","Wentworth & Dearne",74283,43189,24571,6441,1135,0,10733,0,2015,NA
"1203","West Bromwich East",62668,37950,17657,10961,4993,0,984,0,2010,0.6759402633
"1204","West Bromwich East",63637,37492,18817,9347,751,628,7949,0,2015,0.6759402633
"1205","West Bromwich West",65524,35026,0,8365,550,697,8836,0,2015,0.6913566785
"1206","West Bromwich West",64859,36171,16263,10612,4336,0,1566,0,2010,0.6913566785
"1207","West Ham",85313,46951,29422,6888,5392,645,766,0,2010,0.4737574112
"1208","West Ham",90640,52793,36132,8146,1430,2651,3950,0,2015,0.4737574112
"1209","Westminster North",62346,39514,18504,16527,1457,1322,1489,0,2015,0.3297510088
"1210","Westminster North",66739,39598,17377,15251,5513,478,315,0,2010,0.3297510088
"1211","Westmorland & Lonsdale",65857,48929,2661,16245,25194,1798,3031,0,2015,NA
"1212","Westmorland & Lonsdale",66988,51487,1158,18632,30896,0,801,0,2010,NA
"1213","Weston-Super-Mare",78487,52716,5772,23356,20665,0,1406,0,2010,0.5666096718
"1214","Weston-Super-Mare",80309,52552,9594,25203,5486,2592,9366,0,2015,0.5666096718
"1215","Wigan",75407,44140,21404,10917,6797,0,2516,0,2010,0.6271327758
"1216","Wigan",75990,45293,23625,9389,1255,1273,8818,0,2015,0.6271327758
"1217","Wiltshire North",66315,48699,3239,25114,17631,599,1908,0,2010,NA
"1218","Wiltshire North",67851,50556,4930,28938,7892,2350,5813,0,2015,NA
"1219","Wiltshire South West",71647,49018,5613,25321,14954,0,2684,0,2010,NA
"1220","Wiltshire South West",73018,51643,6948,27198,5482,2985,9030,0,2015,NA
"1221","Wimbledon",65723,47395,10550,23257,11849,590,914,0,2010,0.2936939468
"1222","Wimbledon",65853,48422,12606,25225,6129,1986,2476,0,2015,0.2936939468
"1223","Winchester",74119,55316,4613,30425,13511,2645,4122,0,2015,0.3971032124
"1224","Winchester",73805,55955,3051,27155,24107,0,1139,0,2010,0.3971032124
"1225","Windsor",69511,49588,4910,30172,11118,628,1612,0,2010,0.4608509373
"1226","Windsor",71538,50160,6714,31797,4323,1834,4992,0,2015,0.4608509373
"1227","Wirral South",56956,41837,20165,15566,1474,895,3737,0,2015,0.4654894164
"1228","Wirral South",56099,39906,16276,15745,6611,0,1274,0,2010,0.4654894164
"1229","Wirral West",55050,39372,14290,16726,6630,0,899,0,2010,0.4469019958
"1230","Wirral West",55377,41858,18898,18481,1433,0,2772,0,2015,0.4469019958
"1231","Witham",66969,46835,8656,24448,9252,1419,3060,0,2010,0.6083046754
"1232","Witham",67090,47168,7467,27123,2891,2038,7569,0,2015,0.6083046754
"1233","Witney",79767,58482,10046,35201,3953,2970,5352,0,2015,0.4634465746
"1234","Witney",78766,57769,7511,33973,11233,2385,2001,0,2010,0.4634465746
"1235","Woking",74269,51964,8389,29199,6047,2109,5873,0,2015,0.4405758349
"1236","Woking",73837,52786,4246,26551,19744,0,1997,0,2010,0.4405758349
"1237","Wokingham",77881,55999,8132,32329,7572,2092,5516,0,2015,0.4246933515
"1238","Wokingham",76386,54528,5516,28754,15262,567,1664,0,2010,0.4246933515
"1239","Wolverhampton North East",58931,34894,14448,11964,4711,0,1138,0,2010,0.6770525193
"1240","Wolverhampton North East",61065,34003,15669,10174,935,701,6524,0,2015,0.6770525193
"1241","Wolverhampton South East",59884,34707,16505,9912,5277,0,2675,0,2010,0.681449563
"1242","Wolverhampton South East",62556,34764,18539,7761,798,605,7061,0,2015,0.681449563
"1243","Wolverhampton South West",58845,40160,15653,16344,6430,0,1487,0,2010,0.5436750208
"1244","Wolverhampton South West",60368,40209,17374,16573,845,1058,4310,0,2015,0.5436750208
"1245","Worcester",72835,48974,16376,19358,9525,735,1360,0,2010,0.5367724331
"1246","Worcester",72461,49723,16888,22534,1677,2024,6378,0,2015,0.5367724331
"1247","Worcestershire Mid",72145,50931,7613,27770,11906,593,3049,0,2010,NA
"1248","Worcestershire Mid",73069,52225,7548,29763,3750,1933,9231,0,2015,NA
"1249","Worcestershire West",73394,54100,7244,30342,5245,3505,7764,0,2015,NA
"1250","Worcestershire West",72807,54093,3661,27213,20459,641,2119,0,2010,NA
"1251","Workington",59607,39259,17865,13290,5318,0,876,0,2010,0.6031954085
"1252","Workington",58615,38463,16282,11596,1708,1149,7538,0,2015,0.6031954085
"1253","Worsley & Eccles South",72473,41701,17892,13555,6883,0,2037,0,2010,NA
"1254","Worsley & Eccles South",72177,42048,18600,12654,1100,1242,7688,0,2015,NA
"1255","Worthing East & Shoreham",74001,48397,8087,23458,12353,1126,2984,0,2010,NA
"1256","Worthing East & Shoreham",74775,49898,9737,24686,3360,2605,8267,0,2015,NA
"1257","Worthing West",75945,49123,5800,25416,13687,996,2924,0,2010,0.561226606
"1258","Worthing West",75617,50763,7955,26124,4477,2938,9269,0,2015,0.561226606
"1259","Wrekin, The",65544,45968,12472,21922,8019,0,2050,0,2010,NA
"1260","Wrekin, The",65942,45437,11836,22579,1959,1443,7620,0,2015,NA
"1261","Wrexham",50992,32719,12181,10350,1735,669,5072,0,2015,0.5733141838
"1262","Wrexham",50872,32976,12161,8375,8503,0,774,0,2010,0.5733141838
"1263","Wycombe",76371,51439,11588,26444,4546,3086,5198,0,2015,0.4804315306
"1264","Wycombe",74175,48151,8326,23423,13863,0,2123,0,2010,0.4804315306
"1265","Wyre & Preston North",70201,51308,10932,26877,11033,0,2466,0,2010,NA
"1266","Wyre & Preston North",70637,49893,12377,26528,2712,1699,6577,0,2015,NA
"1267","Wyre Forest",76713,50899,7298,18793,6040,0,1498,0,2010,0.6314547474
"1268","Wyre Forest",77407,49440,9523,22394,1228,1117,7967,0,2015,0.6314547474
"1269","Wythenshawe & Sale East",79923,40751,17987,10412,9107,0,1405,0,2010,NA
"1270","Wythenshawe & Sale East",75994,43263,21693,11124,1927,1658,6354,0,2015,NA
"1271","Yeovil",82314,57160,2991,18807,31843,0,2357,0,2010,0.5929247335
"1272","Yeovil",82447,56933,4053,24178,18865,2191,7646,0,2015,0.5929247335
"1273","Ynys Mon",50075,34444,11490,7744,2592,0,1201,0,2010,NA
"1274","Ynys Mon",49939,34926,10871,7393,751,0,5121,0,2015,NA
"1275","York Central",76439,46483,18573,12122,11694,1669,1100,0,2010,0.3853303819
"1276","York Central",75351,47677,0,13496,3804,4791,4795,0,2015,0.3853303819
"1277","York Outer",75939,53300,9108,22912,19224,0,1100,0,2010,0.4491634826
"1278","York Outer",78561,53903,13348,26477,6269,2558,5251,0,2015,0.4491634826
"1279","Yorkshire East",80105,51254,10401,24328,10842,762,2142,0,2010,NA
"1280","Yorkshire East",81023,49991,10343,25276,2966,1731,8955,0,2015,NA
"1281","Berwick-Upon-Tweed",56969,40423,6042,16603,11689,1488,4513,0,2015,NA
"1282","Chester, City Of",74485,51161,22118,22025,2870,0,4148,0,2015,NA
"1283","Cities Of London & Westminster",60992,36185,9899,19570,2521,1953,1894,0,2015,NA
"1284","Durham, City Of",68725,45669,21596,10157,5153,2687,5232,0,2015,NA
"1285","Forest Of Dean",69865,49520,12204,23191,2630,2703,8792,0,2015,NA
"1286","Isle Of Wight",108804,70300,8984,28591,5235,9404,14888,0,2015,NA
"1287","Na H-Eileanan An Iar",21769,15938,4560,1215,456,0,0,8662,2015,NA
"1288","Newcastle Upon Tyne Central",58147,35085,19301,6628,2218,1724,5214,0,2015,NA
"1289","Newcastle Upon Tyne East",64243,39222,19378,6884,4332,3426,4910,0,2015,NA
"1290","Newcastle Upon Tyne North",67902,44891,20689,10536,4366,1515,7447,0,2015,NA
"1291","Newcastle-Under-Lyme",67619,42997,16520,15870,1826,1246,7252,0,2015,NA
"1292","Northamptonshire South",85781,60862,10191,36607,3613,2247,8204,0,2015,NA
"1293","Ochil & Perthshire South",77370,57871,16452,11987,1481,0,1331,26620,2015,NA
"1294","Perth & Perthshire North",72459,54200,4413,17738,2059,1146,1110,27379,2015,NA
"1295","Stoke-On-Trent Central",60634,31084,12220,7008,1296,1123,7041,0,2015,NA
"1296","Stoke-On-Trent North",71438,38654,15429,10593,1137,1091,9542,0,2015,NA
"1297","Stoke-On-Trent South",68091,39107,15319,12780,1309,1029,8298,0,2015,NA
"1298","Stratford-On-Avon",71304,51459,6677,29674,6182,2128,6798,0,2015,NA
"1299","Vale Of Clwyd",56505,35261,13523,13760,915,0,4577,0,2015,NA
"1300","Vale Of Glamorgan",72794,51293,16727,23607,1309,1054,5489,0,2015,NA
"1301","Airdrie and Shotts",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4005130754
"1302","Altrincham and Sale West",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3846870964
"1303","Alyn and Deeside",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5774788291
"1304","Argyll and Bute",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3943239691
"1305","Arundel and South Downs",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5068538363
"1306","Ashton-under-Lyne",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6180980255
"1307","Ayr, Carrick and Cumnock",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4298681805
"1308","Banff and Buchan",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5401840179
"1309","Barrow and Furness",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5678741119
"1310","Basildon and Billericay",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669165671
"1311","Batley and Spen",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6035245428
"1312","Bermondsey and Old Southwark",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2700401192
"1313","Berwickshire, Roxburgh and Selkirk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4320071997
"1314","Bethnal Green and Bow",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3093190508
"1315","Beverley and Holderness",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5878960886
"1316","Bexhill and Battle",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5767643982
"1317","Bexleyheath and Crayford",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6504957583
"1318","Birmingham, Edgbaston",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4734707048
"1319","Birmingham, Erdington",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6297289172
"1320","Birmingham, Hall Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3356875091
"1321","Birmingham, Hodge Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5148416727
"1322","Birmingham, Ladywood",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3562267156
"1323","Birmingham, Northfield",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617882451
"1324","Birmingham, Perry Barr",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5121731706
"1325","Birmingham, Selly Oak",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4690743133
"1326","Birmingham, Yardley",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6009480763
"1327","Blackley and Broughton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5133290917
"1328","Blackpool North and Cleveleys",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6685365381
"1329","Bognor Regis and Littlehampton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6422377605
"1330","Boston and Skegness",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7496077813
"1331","Brecon and Radnorshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5172431786
"1332","Brentford and Isleworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4330890315
"1333","Brentwood and Ongar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608936703
"1334","Bridgwater and West Somerset",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6219046456
"1335","Brigg and Goole",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6620507891
"1336","Brighton, Kemptown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4342993775
"1337","Brighton, Pavilion",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2567763142
"1338","Bromley and Chislehurst",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4982886934
"1339","Caithness, Sutherland and Easter Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4943534937
"1340","Camberwell and Peckham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3019691475
"1341","Camborne and Redruth",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5791059617
"1342","Cardiff South and Penarth",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4493568723
"1343","Carmarthen East and Dinefwr",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5376553474
"1344","Carmarthen West and South Pembrokeshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5536619483
"1345","Carshalton and Wallington",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5630242446
"1346","Central Ayrshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4272058174
"1347","Central Devon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5117887205
"1348","Central Suffolk and North Ipswich",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5448855513
"1349","Chatham and Aylesford",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6474851595
"1350","Chelsea and Fulham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2921402094
"1351","Chesham and Amersham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4498498396
"1352","Chingford and Woodford Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4920964123
"1353","Cities of London and Westminster",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286318407
"1354","City of Chester",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4271304058
"1355","City of Durham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4435008497
"1356","Coatbridge, Chryston and Bellshill",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3872332567
"1357","Crewe and Nantwich",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5900216001
"1358","Cumbernauld, Kilsyth and Kirkintilloch East",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3790899259
"1359","Dagenham and Rainham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6992601589
"1360","Denton and Reddish",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6098402815
"1361","Dulwich and West Norwood",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2205254119
"1362","Dumfries and Galloway",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4539451293
"1363","Dumfriesshire, Clydesdale and Tweeddale",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4394452696
"1364","Dunfermline and West Fife",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4002669477
"1365","Ealing Central and Acton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2915028059
"1366","Ealing, Southall",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4182634912
"1367","East Devon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5045688788
"1368","East Dunbartonshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2670022732
"1369","East Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4872942006
"1370","East Kilbride, Strathaven and Lesmahagow",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3799721785
"1371","East Renfrewshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2568141894
"1372","East Surrey",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5419184365
"1373","East Worthing and Shoreham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5367434864
"1374","East Yorkshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633133693
"1375","Edinburgh North and Leith",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2179552346
"1376","Ellesmere Port and Neston",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5776683508
"1377","Elmet and Rothwell",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5635934444
"1378","Enfield, Southgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3788481586
"1379","Epsom and Ewell",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4796217354
"1380","Erith and Thamesmead",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5432728958
"1381","Esher and Walton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4162523621
"1382","Faversham and Mid Kent",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5822255926
"1383","Feltham and Heston",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5593200537
"1384","Filton and Bradley Stoke",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4797859582
"1385","Finchley and Golders Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3091974839
"1386","Folkestone and Hythe",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6183552232
"1387","Garston and Halewood",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4787784551
"1388","Gillingham and Rainham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6358208955
"1389","Grantham and Stamford",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6101248691
"1390","Greenwich and Woolwich",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356656796
"1391","Hackney North and Stoke Newington",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2094955837
"1392","Hackney South and Shoreditch",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221796833
"1393","Halesowen and Rowley Regis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6634472733
"1394","Haltemprice and Howden",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5549736439
"1395","Hampstead and Kilburn",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234826777
"1396","Harrogate and Knaresborough",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4721936622
"1397","Harwich and North Essex",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6107462742
"1398","Hastings and Rye",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5622823314
"1399","Hayes and Harlington",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5940544594
"1400","Hereford and South Herefordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6015169694
"1401","Hertford and Stortford",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4921302402
"1402","Heywood and Middleton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6242561164
"1403","Hitchin and Harpenden",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3979351954
"1404","Holborn and St Pancras",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2665874363
"1405","Hornchurch and Upminster",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6949469368
"1406","Hornsey and Wood Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2498291003
"1407","Houghton and Sunderland South",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6243418578
"1408","Inverness, Nairn, Badenoch and Strathspey",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4137974888
"1409","Islington South and Finsbury",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2828310011
"1410","Kenilworth and Southam",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465989048
"1411","Kilmarnock and Loudoun",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3960825307
"1412","Kingston and Surbiton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4159414685
"1413","Kingston upon Hull East",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7263315426
"1414","Kingston upon Hull North",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599743353
"1415","Kingston upon Hull West and Hessle",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6784460334
"1416","Kirkcaldy and Cowdenbeath",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4166315082
"1417","Lanark and Hamilton East",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3546686261
"1418","Lancaster and Fleetwood",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509139906
"1419","Lewisham West and Penge",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3446838064
"1420","Lewisham, Deptford",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2466929651
"1421","Leyton and Wanstead",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3500550486
"1422","Linlithgow and East Falkirk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416080522
"1423","Liverpool, Riverside",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2688889708
"1424","Liverpool, Walton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5380360055
"1425","Liverpool, Wavertree",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3584956535
"1426","Liverpool, West Derby",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5028271159
"1427","Louth and Horncastle",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6942533714
"1428","Maidstone and The Weald",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5586830462
"1429","Manchester, Gorton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3790481123
"1430","Manchester, Withington",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2630734275
"1431","Merthyr Tydfil and Rhymney",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5840374391
"1432","Mid Bedfordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522609586
"1433","Mid Derbyshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5253309968
"1434","Mid Dorset and North Poole",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5792701099
"1435","Mid Norfolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6058269069
"1436","Mid Sussex",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4668898152
"1437","Mid Worcestershire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5894371379
"1438","Middlesbrough South and East Cleveland",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6500282112
"1439","Mitcham and Morden",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4468652381
"1440","Morecambe and Lunesdale",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5891294279
"1441","Morley and Outwood",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5978587835
"1442","Motherwell and Wishaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3697252683
"1443","Na h-Eileanan an Iar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439006772
"1444","Normanton, Pontefract and Castleford",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6925528289
"1445","North Ayrshire and Arran",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4229065403
"1446","North Cornwall",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6032021785
"1447","North Devon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5703847943
"1448","North Dorset",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5641147657
"1449","North Durham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6013442628
"1450","North East Bedfordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5329326007
"1451","North East Cambridgeshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6944604007
"1452","North East Derbyshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6217313517
"1453","North East Fife",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3813719637
"1454","North East Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4592303848
"1455","North East Hertfordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5137693409
"1456","North East Somerset",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5211688115
"1457","North Herefordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5825016186
"1458","North Norfolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5825388155
"1459","North Shropshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5945746021
"1460","North Somerset",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4796739156
"1461","North Swindon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5744267235
"1462","North Thanet",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6496979873
"1463","North Tyneside",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5936533258
"1464","North Warwickshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6777035648
"1465","North West Cambridgeshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569533401
"1466","North West Durham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5498292758
"1467","North West Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5452543174
"1468","North West Leicestershire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6069847772
